CRIPTOATIVO;MÊS/ANO;Nº DE OPERAÇÕES;VALOR TOTAL DAS OPERAÇÕES;VALOR MÉDIO POR OPERAÇÃO
ADA;Abril de 2023;38.541;14.483.751,57;375,80
ADA;Maio de 2023;41.506;10.252.267,82;247,01
ADA;Junho de 2023;50.709;15.729.157,91;310,18
ADA;Julho de 2023;38.305;10.706.525,50;279,51
ADA;Agosto de 2023;30.733;6.840.239,35;222,57
ADA;Setembro de 2023;19.470;5.233.747,58;268,81
ADA;Outubro de 2023;26.390;8.930.946,35;338,42
ADA;Novembro de 2023;77.762;19.817.985,10;254,85
ADA;Dezembro de 2023;148.285;51.684.941,57;348,55
ADA;Janeiro de 2024;110.761;28.878.274,16;260,73
ADA;Fevereiro de 2024;105.239;37.195.033,29;353,43
ADA;Março de 2024;142.995;67.076.390,07;469,08
ADA;Abril de 2024;100.565;35.908.408,52;357,07
ADA;Maio de 2024;81.729;25.476.021,28;311,71
ADA;Junho de 2024;71.464;25.452.200,22;356,15
ADA;Julho de 2024;84.297;39.676.857,46;470,68
ADA;Agosto de 2024;81.741;94.103.200,07;1.151,24
ADA;Setembro de 2024;69.169;20.732.176,35;299,73
ADA;Outubro de 2024;76.396;24.020.784,04;314,42
ADA;Novembro de 2024;316.738;234.319.333,54;739,79
ADA;Dezembro de 2024;5.408;65.187,36;12,05
BCH;Agosto de 2019;57.610;27.731.957,14;481,37
BCH;Setembro de 2019;45.577;17.916.807,19;393,11
BCH;Outubro de 2019;43.785;21.539.850,99;491,95
BCH;Novembro de 2019;40.279;19.261.112,62;478,19
BCH;Dezembro de 2019;21.021;7.395.494,30;351,81
BCH;Janeiro de 2020;81.252;57.399.916,17;706,44
BCH;Fevereiro de 2020;75.931;64.964.706,69;855,58
BCH;Março de 2020;63.706;55.936.739,60;878,05
BCH;Abril de 2020;48.649;43.473.179,84;893,61
BCH;Maio de 2020;42.236;37.548.951,31;889,03
BCH;Junho de 2020;19.054;12.904.153,34;677,24
BCH;Julho de 2020;29.284;32.856.428,65;1.121,99
BCH;Agosto de 2020;44.894;37.626.616,47;838,12
BCH;Setembro de 2020;27.986;15.988.606,84;571,31
BCH;Outubro de 2020;23.931;15.965.016,47;667,13
BCH;Novembro de 2020;60.979;55.994.613,93;918,26
BCH;Dezembro de 2020;67.877;55.976.510,90;824,68
BCH;Janeiro de 2021;157.763;145.803.503,15;924,19
BCH;Fevereiro de 2021;177.554;201.622.291,07;1.135,55
BCH;Março de 2021;106.123;100.354.632,61;945,64
BCH;Abril de 2021;229.227;286.483.685,91;1.249,78
BCH;Maio de 2021;235.273;359.317.427,12;1.527,24
BCH;Junho de 2021;46.635;37.538.809,76;804,95
BCH;Julho de 2021;34.212;24.465.903,14;715,13
BCH;Agosto de 2021;58.809;42.183.095,43;717,29
BCH;Setembro de 2021;48.134;33.342.211,52;692,70
BCH;Outubro de 2021;56.549;37.984.720,93;671,71
BCH;Novembro de 2021;46.420;32.202.640,53;693,72
BCH;Dezembro de 2021;23.337;13.286.944,31;569,35
BCH;Janeiro de 2022;16.741;9.081.970,38;542,50
BCH;Fevereiro de 2022;15.347;7.525.020,60;490,33
BCH;Março de 2022;18.525;8.618.201,43;465,22
BCH;Abril de 2022;15.135;7.933.659,00;524,19
BCH;Maio de 2022;19.588;89.487.718,23;4.568,50
BCH;Junho de 2022;17.710;5.274.614,81;297,83
BCH;Julho de 2022;18.057;6.550.946,54;362,79
BCH;Agosto de 2022;16.363;6.565.608,18;401,25
BCH;Setembro de 2022;11.546;4.715.958,93;408,45
BCH;Outubro de 2022;7.625;2.869.415,21;376,32
BCH;Novembro de 2022;17.113;5.159.405,35;301,49
BCH;Dezembro de 2022;28.206;1.570.826,04;55,69
BCH;Janeiro de 2023;51.266;5.159.703,56;100,65
BCH;Fevereiro de 2023;43.197;3.554.750,19;82,29
BCH;Março de 2023;40.226;5.191.101,22;129,05
BCH;Abril de 2023;31.015;2.556.461,69;82,43
BCH;Maio de 2023;30.242;2.983.162,77;98,64
BCH;Junho de 2023;73.555;19.958.332,35;271,34
BCH;Julho de 2023;70.300;17.704.973,91;251,85
BCH;Agosto de 2023;45.711;7.214.598,48;157,83
BCH;Setembro de 2023;61.123;7.123.705,30;116,55
BCH;Outubro de 2023;178.115;15.884.202,18;89,18
BCH;Novembro de 2023;138.504;12.654.153,82;91,36
