CRIPTOATIVO;MÊS/ANO;Nº DE OPERAÇÕES;VALOR TOTAL DAS OPERAÇÕES;VALOR MÉDIO POR OPERAÇÃO
BTG;Maio de 2020;2;802,89;401,45
BTG;Maio de 2021;1;10,71;10,71
BTG;Fevereiro de 2022;26;1.694,97;65,19
BTG;Março de 2022;27;1.625,49;60,20
BTG;Abril de 2022;9;332,72;36,97
BTG;Maio de 2022;13;558,59;42,97
BTG;Junho de 2022;5;177,83;35,57
BTG;Julho de 2022;4;176,15;44,04
BTG;Agosto de 2022;3;195,48;65,16
BTG;Abril de 2023;2.261;46.273.915,67;20.466,13
BTG;Maio de 2023;1.671;7.643.210,50;4.574,03
BTG;Junho de 2023;3.704;45.247.251,29;12.215,78
BTG;Julho de 2023;1.232;10.391.981,74;8.435,05
BTG;Agosto de 2023;1.019;14.931.706,76;14.653,29
BTG;Setembro de 2023;569;5.989.262,75;10.525,95
BTG;Outubro de 2023;605;3.730.826,84;6.166,66
BTG;Novembro de 2023;1.779;30.850.698,81;17.341,60
BTG;Dezembro de 2023;1.778;88.658.836,59;49.864,36
BTG;Janeiro de 2024;1.468;29.711.569,47;20.239,49
BTG;Fevereiro de 2024;1.626;59.611.868,20;36.661,67
BTG;Março de 2024;2.062;10.485.785,64;5.085,25
BTG;Abril de 2024;1.559;18.304.493,45;11.741,18
BTG;Maio de 2024;1.042;4.631.644,06;4.444,96
BTG;Junho de 2024;951;5.513.592,22;5.797,68
BTG;Julho de 2024;956;6.710.853,04;7.019,72
BTG;Agosto de 2024;805;107.303.438,47;133.296,20
BTG;Setembro de 2024;584;52.358.163,28;89.654,39
BTG;Outubro de 2024;772;23.533.916,56;30.484,35
BTG;Novembro de 2024;1.652;24.121.977,24;14.601,68
BTT;Agosto de 2019;479;84.097,38;175,57
BTT;Setembro de 2019;653;165.321,20;253,17
BTT;Outubro de 2019;825;123.075,58;149,18
BTT;Novembro de 2019;854;132.092,92;154,68
BTT;Dezembro de 2019;673;119.355,55;177,35
BTT;Janeiro de 2020;1.381;743.607,14;538,46
BTT;Fevereiro de 2020;1.533;749.913,34;489,18
BTT;Março de 2020;940;358.769,06;381,67
BTT;Abril de 2020;1.349;522.753,28;387,51
BTT;Maio de 2020;2.505;1.011.558,78;403,82
BTT;Junho de 2020;1.695;437.220,04;257,95
BTT;Julho de 2020;3.419;1.382.339,87;404,31
BTT;Agosto de 2020;4.787;2.109.308,71;440,63
BTT;Setembro de 2020;2.530;1.055.438,52;417,17
BTT;Outubro de 2020;2.280;961.994,65;421,93
BTT;Novembro de 2020;2.234;760.980,91;340,64
BTT;Dezembro de 2020;2.422;716.578,01;295,86
BTT;Janeiro de 2021;10.206;3.634.576,57;356,12
BTT;Fevereiro de 2021;63.606;53.689.154,38;844,09
BTT;Março de 2021;82.733;108.019.282,29;1.305,64
BTT;Abril de 2021;180.281;284.350.127,24;1.577,26
BTT;Maio de 2021;94.873;93.513.635,27;985,67
BTT;Junho de 2021;30.347;23.717.714,51;781,55
BTT;Julho de 2021;16.743;13.356.538,99;797,74
BTT;Agosto de 2021;37.365;42.537.798,61;1.138,44
BTT;Setembro de 2021;18.794;15.957.916,66;849,10
BTT;Outubro de 2021;20.584;15.785.605,88;766,89
BTT;Novembro de 2021;12.063;8.890.508,95;737,01
BTT;Dezembro de 2021;13.299;10.328.807,08;776,66
BTT;Janeiro de 2022;3.080;1.579.873,05;512,95
BTT;Novembro de 2022;1;0,01;0,01
BTT;Novembro de 2023;1;0,01;0,01
BTT;Janeiro de 2024;9.001;692.961,28;76,99
BTT;Fevereiro de 2024;16.269;1.098.693,83;67,53
BTT;Março de 2024;35.381;4.745.109,79;134,11
BTT;Abril de 2024;16.316;1.319.989,34;80,90
BTT;Maio de 2024;13.650;997.953,59;73,11
BTT;Junho de 2024;10.813;653.647,79;60,45
BTT;Julho de 2024;8.630;405.603,45;47,00
BTT;Agosto de 2024;6.770;355.207,71;52,47
BTT;Setembro de 2024;5.900;363.581,54;61,62
BTT;Outubro de 2024;5.997;258.163,08;43,05
BTT;Novembro de 2024;18.927;1.812.334,31;95,75
BTT;Dezembro de 2024;1;564,06;564,06
BUSD;Março de 2020;6;150.188,80;25.031,47
BUSD;Junho de 2020;1;100,00;100,00
BUSD;Agosto de 2020;2;0,37;0,19
BUSD;Setembro de 2020;1;10.062,00;10.062,00
BUSD;Novembro de 2020;17;2.204.552,62;129.679,57
BUSD;Dezembro de 2020;923;70.709.075,88;76.607,88
BUSD;Janeiro de 2021;644;69.787.626,94;108.365,88
BUSD;Fevereiro de 2021;1.876;105.118.051,52;56.033,08
BUSD;Março de 2021;1.007;181.770.827,64;180.507,28
BUSD;Abril de 2021;827;509.155.704,71;615.665,91
BUSD;Maio de 2021;2.966;797.738.681,26;268.961,12
BUSD;Junho de 2021;1.548;274.935.724,82;177.607,06
BUSD;Julho de 2021;2.006;28.071.786,59;13.993,91
BUSD;Agosto de 2021;4.876;46.840.884,13;9.606,42
BUSD;Setembro de 2021;4.236;98.661.126,83;23.291,11
BUSD;Outubro de 2021;4.583;28.854.143,94;6.295,91
BUSD;Novembro de 2021;6.299;59.723.121,37;9.481,37
BUSD;Dezembro de 2021;5.912;101.575.773,89;17.181,29
BUSD;Janeiro de 2022;4.087;48.701.005,05;11.916,08
BUSD;Fevereiro de 2022;4.084;19.769.083,00;4.840,62
BUSD;Março de 2022;3.836;43.672.969,21;11.385,03
BUSD;Abril de 2022;4.788;51.620.365,44;10.781,20
BUSD;Maio de 2022;5.546;63.458.607,54;11.442,23
BUSD;Junho de 2022;9.241;48.345.908,18;5.231,67
BUSD;Julho de 2022;9.833;59.481.726,28;6.049,19
BUSD;Agosto de 2022;6.661;24.391.843,97;3.661,89
BUSD;Setembro de 2022;6.771;37.885.942,85;5.595,32
BUSD;Outubro de 2022;4.382;34.407.585,19;7.852,03
BUSD;Novembro de 2022;8.446;28.091.218,58;3.325,98
BUSD;Dezembro de 2022;7.865;31.643.938,70;4.023,39
BUSD;Janeiro de 2023;8.531;28.632.666,29;3.356,31
BUSD;Fevereiro de 2023;8.466;44.922.850,72;5.306,27
BUSD;Março de 2023;5.374;18.625.239,50;3.465,81
BUSD;Abril de 2023;6.608;24.044.153,34;3.638,64
BUSD;Maio de 2023;8.429;32.387.777,03;3.842,42
BUSD;Junho de 2023;7.260;40.290.239,90;5.549,62
BUSD;Julho de 2023;4.826;17.668.648,72;3.661,14
BUSD;Agosto de 2023;3.703;19.443.083,08;5.250,63
BUSD;Setembro de 2023;5.080;5.255.797,51;1.034,61
BUSD;Outubro de 2023;7.754;7.210.770,40;929,94
BUSD;Novembro de 2023;544;401.361,91;737,80
BUSD;Dezembro de 2023;287;247.296,18;861,66
BUSD;Janeiro de 2024;22;660.708,69;30.032,21
BUSD;Fevereiro de 2024;16;595.402,19;37.212,64
BUSD;Março de 2024;13;384.286,59;29.560,51
BUSD;Abril de 2024;45;133.022.303,86;2.956.051,20
BUSD;Maio de 2024;100;228.699.464,25;2.286.994,64
BUSD;Junho de 2024;227;214.346.789,31;944.258,98
BUSD;Julho de 2024;455;413.796.101,05;909.441,98
BUSD;Agosto de 2024;514;342.166.903,95;665.694,37
BUSD;Setembro de 2024;544;449.493.932,42;826.275,61
BUSD;Outubro de 2024;590;596.673.897,30;1.011.311,69
BUSD;Novembro de 2024;528;626.287.244,43;1.186.150,08
BUSD;Dezembro de 2024;1;0,01;0,01
CBRL;Dezembro de 2019;13;1.305,02;100,39
CBRL;Janeiro de 2020;10;1.009,00;100,90
CBRL;Fevereiro de 2020;49;40.423,42;824,97
CBRL;Março de 2020;40;63.838,48;1.595,96
CBRL;Abril de 2020;320;433.273,04;1.353,98
CBRL;Maio de 2020;3.797;2.415.956,72;636,28
CBRL;Junho de 2020;3.130;1.667.454,98;532,73
CBRL;Julho de 2020;6.887;5.005.166,98;726,76
CBRL;Agosto de 2020;14.029;76.477.097,41;5.451,36
CBRL;Setembro de 2020;6.390;112.642.115,35;17.627,87
CBRL;Outubro de 2020;8.141;6.124.671,09;752,32
CBRL;Novembro de 2020;11.383;27.849.633,21;2.446,60
CBRL;Dezembro de 2020;8.947;9.005.709,24;1.006,56
CBRL;Janeiro de 2021;22.819;16.043.443,82;703,07
CBRL;Fevereiro de 2021;9.674;15.901.168,86;1.643,70
CBRL;Março de 2021;13.932;21.392.651,91;1.535,50
CBRL;Abril de 2021;10.380;15.936.157,64;1.535,28
CBRL;Maio de 2021;9.447;12.626.430,16;1.336,55
CBRL;Junho de 2021;14.115;7.221.874,93;511,65
CBRL;Julho de 2021;7.375;6.171.239,02;836,78
CBRL;Agosto de 2021;11.206;12.262.211,29;1.094,25
CBRL;Setembro de 2021;7.575;7.196.893,43;950,08
CBRL;Outubro de 2021;5.196;6.755.744,06;1.300,18
CBRL;Novembro de 2021;4.253;6.473.493,08;1.522,10
CBRL;Dezembro de 2021;2.113;2.338.989,68;1.106,95
CBRL;Janeiro de 2022;1.539;3.707.194,40;2.408,83
CBRL;Fevereiro de 2022;1.171;1.204.863,91;1.028,92
CBRL;Março de 2022;1.100;1.185.248,09;1.077,50
CBRL;Abril de 2022;1.046;1.126.174,63;1.076,65
CBRL;Maio de 2022;942;971.439,52;1.031,25
CBRL;Junho de 2022;635;632.851,28;996,62
CBRL;Julho de 2022;106;110.038,82;1.038,10
CBRL;Agosto de 2022;1;33.117,22;33.117,22
CBRL;Outubro de 2022;4;240.409,74;60.102,44
CBRL;Junho de 2023;1;530,00;530,00
CBRL;Agosto de 2023;1;30.000,00;30.000,00
CHZ;Novembro de 2019;4;1.353,18;338,30
CHZ;Junho de 2020;1;5.066,35;5.066,35
CHZ;Julho de 2020;22.123;9.472.376,10;428,17
CHZ;Agosto de 2020;39.503;20.672.908,65;523,33
CHZ;Setembro de 2020;18.868;7.031.757,88;372,68
CHZ;Outubro de 2020;11.173;3.286.101,04;294,11
CHZ;Novembro de 2020;25.106;9.229.272,36;367,61
CHZ;Dezembro de 2020;91.911;56.948.108,38;619,60
CHZ;Janeiro de 2021;96.102;49.828.000,07;518,49
CHZ;Fevereiro de 2021;178.585;229.037.776,81;1.282,51
CHZ;Março de 2021;1.093.513;2.695.209.256,55;2.464,73
CHZ;Abril de 2021;534.193;1.009.497.784,06;1.889,76
CHZ;Maio de 2021;397.783;1.006.162.396,18;2.529,43
CHZ;Junho de 2021;242.131;728.986.425,34;3.010,71
CHZ;Julho de 2021;148.810;805.810.159,05;5.415,03
CHZ;Agosto de 2021;202.891;404.524.693,35;1.993,80
CHZ;Setembro de 2021;137.741;163.304.516,69;1.185,59
CHZ;Outubro de 2021;170.869;259.535.618,08;1.518,92
CHZ;Novembro de 2021;191.846;351.467.595,88;1.832,03
CHZ;Dezembro de 2021;73.144;81.702.404,06;1.117,01
CHZ;Janeiro de 2022;51.346;51.618.521,74;1.005,31
CHZ;Fevereiro de 2022;41.836;30.833.742,22;737,01
CHZ;Março de 2022;50.423;50.696.005,99;1.005,41
CHZ;Abril de 2022;34.210;25.908.783,39;757,35
CHZ;Maio de 2022;40.402;67.170.431,32;1.662,55
CHZ;Junho de 2022;24.434;18.639.666,79;762,86
CHZ;Julho de 2022;21.347;13.769.212,72;645,02
CHZ;Agosto de 2022;49.421;44.512.941,02;900,69
CHZ;Setembro de 2022;39.457;40.627.018,48;1.029,65
CHZ;Outubro de 2022;35.514;29.375.657,36;827,16
CHZ;Novembro de 2022;96.104;94.101.103,76;979,16
CHZ;Dezembro de 2022;31.231;19.115.650,52;612,07
CHZ;Janeiro de 2023;29.905;15.789.643,26;527,99
CHZ;Fevereiro de 2023;28.221;16.273.593,70;576,65
CHZ;Março de 2023;21.445;11.955.436,53;557,49
CHZ;Abril de 2023;16.323;10.186.196,53;624,04
CHZ;Maio de 2023;27.333;6.129.510,76;224,25
CHZ;Junho de 2023;20.335;5.380.147,89;264,58
CHZ;Julho de 2023;12.524;3.968.194,00;316,85
CHZ;Agosto de 2023;11.512;3.170.426,10;275,40
CHZ;Setembro de 2023;8.049;2.018.621,42;250,79
CHZ;Outubro de 2023;12.049;4.664.501,89;387,13
CHZ;Novembro de 2023;15.641;6.766.033,97;432,58
CHZ;Dezembro de 2023;15.958;5.594.003,29;350,55
CHZ;Janeiro de 2024;23.816;10.309.901,62;432,90
CHZ;Fevereiro de 2024;18.668;10.135.213,80;542,92
CHZ;Março de 2024;40.537;17.020.419,18;419,87
CHZ;Abril de 2024;22.984;10.592.827,90;460,88
CHZ;Maio de 2024;17.921;10.656.448,30;594,63
CHZ;Junho de 2024;18.002;9.553.851,84;530,71
CHZ;Julho de 2024;12.596;6.390.883,36;507,37
CHZ;Agosto de 2024;11.205;5.686.416,81;507,49
CHZ;Setembro de 2024;8.763;3.507.623,85;400,28
CHZ;Outubro de 2024;14.678;9.725.631,29;662,60
CHZ;Novembro de 2024;28.587;15.664.576,62;547,96
CHZ;Dezembro de 2024;1;1.000,00;1.000,00
COMP;Julho de 2020;1;5.293,59;5.293,59
COMP;Agosto de 2020;1;613,23;613,23
COMP;Janeiro de 2021;5;1.322,74;264,55
COMP;Fevereiro de 2021;21;56.796,46;2.704,59
COMP;Março de 2021;8;6.416,12;802,02
COMP;Abril de 2021;29;32.060,15;1.105,52
COMP;Maio de 2021;12.733;10.083.383,65;791,91
COMP;Junho de 2021;8.574;5.012.286,99;584,59
COMP;Julho de 2021;21.646;23.304.915,07;1.076,64
COMP;Agosto de 2021;13.541;13.854.987,57;1.023,19
COMP;Setembro de 2021;7.663;8.129.463,77;1.060,87
COMP;Outubro de 2021;9.734;9.898.193,56;1.016,87
COMP;Novembro de 2021;5.381;4.310.056,42;800,98
COMP;Dezembro de 2021;3.868;1.970.389,13;509,41
COMP;Janeiro de 2022;2.989;1.640.484,86;548,84
COMP;Fevereiro de 2022;1.775;728.578,02;410,47
COMP;Março de 2022;2.780;1.151.542,19;414,22
COMP;Abril de 2022;3.052;1.514.184,10;496,13
COMP;Maio de 2022;1.718;508.684,86;296,09
COMP;Junho de 2022;4.069;898.422,03;220,80
COMP;Julho de 2022;3.264;867.785,38;265,87
COMP;Agosto de 2022;2.062;895.357,74;434,22
COMP;Setembro de 2022;1.903;626.915,40;329,44
COMP;Outubro de 2022;1.315;235.874,14;179,37
COMP;Novembro de 2022;1.494;411.236,80;275,26
COMP;Dezembro de 2022;1.015;157.694,58;155,36
COMP;Janeiro de 2023;1.817;365.768,87;201,30
COMP;Fevereiro de 2023;1.655;407.244,05;246,07
COMP;Março de 2023;1.554;544.071,83;350,11
COMP;Abril de 2023;1.347;158.915,12;117,98
COMP;Maio de 2023;1.216;199.550,58;164,10
COMP;Junho de 2023;2.406;642.652,11;267,10
COMP;Julho de 2023;5.918;1.818.334,68;307,25
COMP;Agosto de 2023;2.238;1.006.872,32;449,90
COMP;Setembro de 2023;1.955;324.250,46;165,86
COMP;Outubro de 2023;1.762;334.709,56;189,96
COMP;Novembro de 2023;2.274;674.518,85;296,62
COMP;Dezembro de 2023;2.892;757.264,12;261,85
COMP;Janeiro de 2024;4.387;551.281,15;125,66
COMP;Fevereiro de 2024;4.464;1.206.275,83;270,22
COMP;Março de 2024;13.409;1.962.821,74;146,38
COMP;Abril de 2024;3.386;689.034,66;203,50
COMP;Maio de 2024;2.421;434.424,29;179,44
COMP;Junho de 2024;2.095;1.056.560,43;504,32
COMP;Julho de 2024;6.872;1.247.306,76;181,51
COMP;Agosto de 2024;5.594;930.739,30;166,38
COMP;Setembro de 2024;2.005;610.849,98;304,66
COMP;Outubro de 2024;1.438;254.788,57;177,18
COMP;Novembro de 2024;3.595;1.239.350,29;344,74
CRV;Agosto de 2020;1;25.000,00;25.000,00
CRV;Setembro de 2020;1;5.000,00;5.000,00
CRV;Janeiro de 2021;12;12.662,69;1.055,22
CRV;Fevereiro de 2021;14;35.098,09;2.507,01
CRV;Março de 2021;15;27.380,56;1.825,37
CRV;Abril de 2021;7;10.439,04;1.491,29
CRV;Maio de 2021;21.061;13.020.972,57;618,25
CRV;Junho de 2021;14.596;12.130.289,80;831,07
CRV;Julho de 2021;8.878;5.485.396,18;617,86
CRV;Agosto de 2021;18.264;12.601.648,64;689,97
CRV;Setembro de 2021;18.089;16.390.420,17;906,10
CRV;Outubro de 2021;30.222;41.347.513,36;1.368,13
CRV;Novembro de 2021;25.477;30.852.210,72;1.210,98
CRV;Dezembro de 2021;17.166;18.025.315,49;1.050,06
CRV;Janeiro de 2022;13.819;16.983.560,72;1.229,00
CRV;Fevereiro de 2022;6.473;5.369.574,56;829,53
CRV;Março de 2022;7.953;4.638.954,56;583,30
CRV;Abril de 2022;7.360;3.409.779,13;463,29
CRV;Maio de 2022;8.002;3.033.914,89;379,14
CRV;Junho de 2022;6.080;1.967.891,67;323,67
CRV;Julho de 2022;9.190;4.293.278,84;467,17
CRV;Agosto de 2022;5.585;3.407.436,74;610,11
CRV;Setembro de 2022;4.203;2.684.231,39;638,65
CRV;Outubro de 2022;3.137;1.345.007,04;428,76
CRV;Novembro de 2022;6.145;3.011.192,48;490,02
CRV;Dezembro de 2022;2.625;956.265,42;364,29
CRV;Janeiro de 2023;4.452;2.155.724,22;484,21
CRV;Fevereiro de 2023;6.450;4.258.309,14;660,20
CRV;Março de 2023;4.168;1.879.622,87;450,97
CRV;Abril de 2023;2.356;791.232,23;335,84
CRV;Maio de 2023;1.680;408.074,98;242,90
CRV;Junho de 2023;2.708;428.969,99;158,41
CRV;Julho de 2023;2.740;560.117,06;204,42
CRV;Agosto de 2023;3.343;939.339,82;280,99
CRV;Setembro de 2023;2.405;396.094,46;164,70
CRV;Outubro de 2023;2.313;390.941,55;169,02
CRV;Novembro de 2023;2.312;664.123,37;287,25
CRV;Dezembro de 2023;2.785;737.577,91;264,84
CRV;Janeiro de 2024;5.914;710.373,42;120,12
CRV;Fevereiro de 2024;4.892;1.109.048,61;226,71
CRV;Março de 2024;6.751;3.897.451,04;577,31
CRV;Abril de 2024;8.652;1.077.141,22;124,50
CRV;Maio de 2024;3.183;905.910,50;284,61
CRV;Junho de 2024;5.671;6.015.528,97;1.060,75
CRV;Julho de 2024;2.574;1.616.709,68;628,09
CRV;Agosto de 2024;3.022;1.355.228,37;448,45
CRV;Setembro de 2024;1.652;1.685.620,13;1.020,35
CRV;Outubro de 2024;1.719;778.980,21;453,16
CRV;Novembro de 2024;6.934;9.228.822,94;1.330,95
DAI;Agosto de 2019;21;15.656,69;745,56
DAI;Setembro de 2019;12;183.330,23;15.277,52
DAI;Outubro de 2019;2;913,44;456,72
DAI;Novembro de 2019;2;100,00;50,00
DAI;Dezembro de 2019;5;40.289,95;8.057,99
DAI;Janeiro de 2020;5;1.045,57;209,11
DAI;Fevereiro de 2020;9;433.167,48;48.129,72
DAI;Março de 2020;32;4.460,71;139,40
DAI;Abril de 2020;29;46.292,30;1.596,29
DAI;Maio de 2020;153;62.021,20;405,37
DAI;Junho de 2020;188;22.507,73;119,72
DAI;Julho de 2020;3.843;1.357.366,88;353,21
DAI;Agosto de 2020;4.079;1.699.347,41;416,61
DAI;Setembro de 2020;1.728;1.194.436,62;691,22
DAI;Outubro de 2020;1.737;1.289.706,34;742,49
DAI;Novembro de 2020;7.545;4.188.352,34;555,12
DAI;Dezembro de 2020;6.794;3.877.527,97;570,73
DAI;Janeiro de 2021;12.103;6.030.013,56;498,22
DAI;Fevereiro de 2021;16.421;6.524.312,64;397,32
DAI;Março de 2021;12.431;5.160.751,11;415,15
DAI;Abril de 2021;19.238;8.054.941,68;418,70
DAI;Maio de 2021;24.833;12.263.703,76;493,85
DAI;Junho de 2021;7.898;3.968.003,14;502,41
DAI;Julho de 2021;5.907;5.380.697,48;910,90
DAI;Agosto de 2021;14.809;10.588.874,22;715,03
DAI;Setembro de 2021;12.279;9.436.043,92;768,47
DAI;Outubro de 2021;10.330;5.256.984,78;508,90
DAI;Novembro de 2021;7.777;3.881.202,32;499,06
DAI;Dezembro de 2021;5.702;2.962.476,75;519,55
DAI;Janeiro de 2022;4.458;2.932.547,46;657,82
DAI;Fevereiro de 2022;3.080;1.903.918,54;618,16
DAI;Março de 2022;3.013;1.096.374,27;363,88
DAI;Abril de 2022;2.547;952.020,36;373,78
DAI;Maio de 2022;2.376;1.642.131,28;691,13
DAI;Junho de 2022;1.581;1.105.497,56;699,24
DAI;Julho de 2022;1.784;932.112,54;522,48
DAI;Agosto de 2022;1.624;1.016.422,70;625,88
DAI;Setembro de 2022;1.421;812.294,01;571,64
DAI;Outubro de 2022;1.173;1.256.698,79;1.071,35
DAI;Novembro de 2022;1.791;1.226.400,61;684,76
DAI;Dezembro de 2022;1.220;1.170.720,94;959,61
DAI;Janeiro de 2023;1.487;778.110,94;523,28
DAI;Fevereiro de 2023;1.334;922.042,53;691,19
DAI;Março de 2023;2.013;1.566.995,60;778,44
DAI;Abril de 2023;980;699.219,09;713,49
DAI;Maio de 2023;934;680.042,18;728,10
DAI;Junho de 2023;852;525.256,65;616,50
DAI;Julho de 2023;942;670.402,40;711,68
DAI;Agosto de 2023;1.057;1.429.453,80;1.352,37
DAI;Setembro de 2023;1.188;906.435,76;762,99
DAI;Outubro de 2023;919;473.655,70;515,40
DAI;Novembro de 2023;1.055;513.138,13;486,39
DAI;Dezembro de 2023;1.739;534.974,38;307,63
DAI;Janeiro de 2024;1.753;519.912,04;296,58
DAI;Fevereiro de 2024;1.694;452.828,28;267,31
DAI;Março de 2024;3.942;812.470,42;206,11
DAI;Abril de 2024;2.410;538.317,96;223,37
DAI;Maio de 2024;2.015;1.316.207,40;653,20
DAI;Junho de 2024;2.164;1.687.767,87;779,93
DAI;Julho de 2024;2.247;472.831,38;210,43
DAI;Agosto de 2024;2.109;460.333,56;218,27
DAI;Setembro de 2024;1.557;487.084,48;312,84
DAI;Outubro de 2024;1.515;218.727,08;144,37
DAI;Novembro de 2024;3.810;488.909,14;128,32
DASH;Agosto de 2019;12.471;845.231,29;67,78
DASH;Setembro de 2019;10.291;1.440.027,79;139,93
DASH;Outubro de 2019;3.922;935.357,89;238,49
DASH;Novembro de 2019;2.817;585.489,30;207,84
DASH;Dezembro de 2019;2.090;406.415,81;194,46
DASH;Janeiro de 2020;19.069;8.479.294,01;444,66
DASH;Fevereiro de 2020;12.046;5.759.506,75;478,13
DASH;Março de 2020;7.431;2.754.837,17;370,72
DASH;Abril de 2020;5.837;2.161.442,91;370,30
DASH;Maio de 2020;3.661;1.391.130,39;379,99
DASH;Junho de 2020;1.706;442.227,72;259,22
DASH;Julho de 2020;1.741;549.648,41;315,71
DASH;Agosto de 2020;3.312;1.458.644,19;440,41
DASH;Setembro de 2020;1.605;628.719,18;391,73
DASH;Outubro de 2020;1.549;536.609,39;346,42
DASH;Novembro de 2020;3.829;2.053.681,23;536,35
DASH;Dezembro de 2020;2.609;1.045.624,26;400,78
DASH;Janeiro de 2021;6.834;4.299.767,17;629,17
DASH;Fevereiro de 2021;14.842;10.922.221,39;735,90
DASH;Março de 2021;6.320;3.982.901,49;630,21
DASH;Abril de 2021;11.037;8.360.834,12;757,53
DASH;Maio de 2021;9.188;6.297.372,36;685,39
DASH;Junho de 2021;1.674;814.408,15;486,50
DASH;Julho de 2021;2.131;1.381.210,71;648,15
DASH;Agosto de 2021;3.018;2.070.586,61;686,08
DASH;Setembro de 2021;1.721;1.078.299,69;626,55
DASH;Outubro de 2021;1.649;902.980,54;547,59
DASH;Novembro de 2021;2.315;1.494.824,82;645,71
DASH;Dezembro de 2021;813;405.143,59;498,33
DASH;Janeiro de 2022;969;560.637,84;578,57
DASH;Fevereiro de 2022;4.631;3.353.191,60;724,08
DASH;Março de 2022;11.616;930.118,10;80,07
DASH;Abril de 2022;5.067;353.387,44;69,74
DASH;Maio de 2022;8.396;394.081,05;46,94
DASH;Junho de 2022;11.206;422.642,95;37,72
DASH;Julho de 2022;11.398;330.384,04;28,99
DASH;Agosto de 2022;8.088;244.577,93;30,24
DASH;Setembro de 2022;7.234;261.548,39;36,16
DASH;Outubro de 2022;13.658;388.757,77;28,46
DASH;Novembro de 2022;438;130.106,51;297,05
DASH;Dezembro de 2022;242;79.853,54;329,97
DASH;Janeiro de 2023;368;137.997,42;374,99
DASH;Fevereiro de 2023;326;109.565,83;336,09
DASH;Março de 2023;295;115.714,14;392,25
DASH;Abril de 2023;254;183.058,62;720,70
DASH;Maio de 2023;434;252.197,01;581,10
DASH;Junho de 2023;271;57.629,40;212,65
DASH;Julho de 2023;178;21.975,71;123,46
DASH;Agosto de 2023;212;48.341,92;228,03
DASH;Setembro de 2023;188;38.885,39;206,84
DASH;Outubro de 2023;318;103.146,04;324,36
DASH;Novembro de 2023;340;104.787,52;308,20
DASH;Dezembro de 2023;447;136.544,29;305,47
DASH;Janeiro de 2024;400;165.684,23;414,21
DASH;Fevereiro de 2024;422;151.977,18;360,14
DASH;Março de 2024;593;160.398,40;270,49
DASH;Abril de 2024;318;119.237,66;374,96
DASH;Maio de 2024;310;52.039,58;167,87
DASH;Junho de 2024;243;64.335,53;264,76
DASH;Julho de 2024;272;45.808,35;168,41
DASH;Agosto de 2024;234;38.935,22;166,39
DASH;Setembro de 2024;234;37.576,34;160,58
DASH;Outubro de 2024;239;55.078,32;230,45
DASH;Novembro de 2024;588;163.291,52;277,71
DASH;Dezembro de 2024;1;5.966,00;5.966,00
DCR;Agosto de 2019;8.069;138.181,63;17,13
DCR;Setembro de 2019;6.283;77.066,44;12,27
DCR;Outubro de 2019;234;41.949,85;179,27
DCR;Novembro de 2019;309;68.883,69;222,92
DCR;Dezembro de 2019;70;35.970,62;513,87
DCR;Janeiro de 2020;123;9.444,02;76,78
DCR;Fevereiro de 2020;143;23.691,93;165,68
DCR;Março de 2020;108;25.801,54;238,90
DCR;Abril de 2020;145;25.693,25;177,19
DCR;Maio de 2020;134;31.629,31;236,04
DCR;Junho de 2020;1.639;1.156.235,72;705,45
DCR;Julho de 2020;2.045;1.274.140,80;623,05
DCR;Agosto de 2020;2.865;1.850.794,42;646,00
DCR;Setembro de 2020;1.097;729.060,90;664,60
DCR;Outubro de 2020;1.913;1.925.907,85;1.006,75
DCR;Novembro de 2020;3.944;3.405.343,59;863,42
DCR;Dezembro de 2020;5.351;10.406.261,44;1.944,73
DCR;Janeiro de 2021;6.546;8.749.698,87;1.336,65
DCR;Fevereiro de 2021;9.675;9.559.876,74;988,10
DCR;Março de 2021;4.262;3.882.701,94;911,00
DCR;Abril de 2021;4.751;3.209.122,53;675,46
DCR;Maio de 2021;4.834;3.893.776,82;805,50
DCR;Junho de 2021;1.836;1.491.123,02;812,16
DCR;Julho de 2021;1.016;725.459,90;714,04
DCR;Agosto de 2021;1.928;1.245.587,47;646,05
DCR;Setembro de 2021;991;759.340,95;766,24
DCR;Outubro de 2021;1.332;1.340.641,02;1.006,49
DCR;Novembro de 2021;772;569.928,48;738,25
DCR;Dezembro de 2021;1.502;1.107.199,62;737,15
DCR;Janeiro de 2022;6.133;142.016.150,59;23.156,07
DCR;Fevereiro de 2022;9.681;179.114.341,93;18.501,64
DCR;Março de 2022;9.708;240.615.833,97;24.785,31
DCR;Abril de 2022;12.406;224.548.873,56;18.100,02
DCR;Maio de 2022;15.859;273.108.857,37;17.221,06
DCR;Junho de 2022;16.347;264.318.701,96;16.169,25
DCR;Julho de 2022;14.301;246.007.780,62;17.202,14
DCR;Agosto de 2022;22.189;336.138.552,82;15.148,88
DCR;Setembro de 2022;13.445;203.877.713,26;15.163,83
DCR;Outubro de 2022;204;61.901,45;303,44
DCR;Novembro de 2022;373;90.865,24;243,61
DCR;Dezembro de 2022;275;71.791,33;261,06
DCR;Janeiro de 2023;307;96.036,18;312,82
DCR;Fevereiro de 2023;419;113.676,30;271,30
DCR;Março de 2023;410;131.457,37;320,63
DCR;Abril de 2023;805;336.132,08;417,56
